City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Mercedes,AR,-34.65,-59.43,73.99,72,93,8.52,overcast clouds
272,Camacha,PT,33.08,-16.33,60.8,72,20,3.2,few clouds
273,Grabouw,ZA,-34.15,19.02,64.99,88,0,17.27,clear sky
274,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,73,75,13.8,broken clouds
275,Chapais,CA,49.78,-74.85,41.0,52,90,6.91,overcast clouds
276,Havelock,US,34.88,-76.90,66.99,45,1,13.8,clear sky
277,Talnakh,RU,69.49,88.40,4.35,71,100,11.56,overcast clouds
278,Werda,BW,-25.27,23.28,75.6,29,0,4.79,clear sky
279,Saint-Georges,GD,12.06,-61.75,82.4,74,20,18.41,few clouds
280,Bhaderwah,IN,32.98,75.72,50.92,82,100,4.0,overcast clouds
281,Alta Floresta,BR,-9.88,-56.09,76.19,92,100,4.41,overcast clouds
282,Gat,IL,31.61,34.76,57.99,81,0,5.84,clear sky
283,Ancud,CL,-41.87,-73.82,62.01,77,0,8.05,clear sky
284,Olafsvik,IS,64.89,-23.71,19.76,52,100,12.35,overcast clouds
285,Jalu,LY,29.03,21.55,71.06,11,0,11.77,clear sky
286,Hamilton,US,39.18,-84.53,73.4,33,1,4.61,clear sky
287,Batticaloa,LK,7.71,81.69,78.96,83,63,7.45,broken clouds
288,Kristiinankaupunki,FI,62.27,21.38,38.8,83,100,20.51,overcast clouds
289,Qobustan,AZ,40.08,49.41,50.0,93,0,9.22,clear sky
290,Grand-Santi,GF,4.25,-54.38,74.14,98,99,2.73,overcast clouds
291,Shagamu,NG,6.84,3.65,86.0,79,20,11.5,few clouds
292,Barcelos,PT,41.54,-8.62,61.0,67,0,3.27,clear sky
293,Castelldefels,ES,41.28,1.97,57.0,67,0,2.3,clear sky
294,Gualaquiza,EC,-3.40,-78.55,65.68,98,100,1.07,light rain
295,Caraballeda,VE,10.61,-66.85,82.4,61,40,5.75,scattered clouds
296,Gazanjyk,TM,39.24,55.52,56.7,47,0,6.51,clear sky
297,Karatau,KZ,43.17,70.47,45.55,71,28,23.98,scattered clouds
298,San Francisco,US,37.77,-122.42,61.0,51,75,16.11,broken clouds
299,Sarahan,IN,31.52,77.80,46.83,76,100,4.65,overcast clouds
300,Cabinda,AO,-5.55,12.20,79.9,83,99,3.69,overcast clouds
301,Hobyo,SO,5.35,48.53,82.24,69,70,13.15,broken clouds
302,Mango,US,27.98,-82.31,77.0,43,75,4.85,broken clouds
303,Saint-Pierre,RE,-21.34,55.48,77.0,78,0,4.61,clear sky
304,Lerwick,GB,60.15,-1.15,26.6,74,75,33.38,light snow
305,Takoradi,GH,4.88,-1.76,79.39,86,28,5.46,light rain
306,San Juan,AR,-31.54,-68.54,83.64,34,71,7.07,broken clouds
307,Durazno,UY,-33.41,-56.50,80.6,54,20,7.11,few clouds
308,Naliya,IN,23.27,68.83,78.06,74,0,9.35,clear sky
309,Novorzhev,RU,57.03,29.33,35.82,80,69,12.03,broken clouds
310,Kostroma,RU,57.77,40.93,32.0,69,0,6.71,clear sky
311,Tembisa,ZA,-26.00,28.23,60.01,100,0,3.04,clear sky
312,Sal Rei,CV,16.18,-22.92,69.8,83,20,18.41,few clouds
313,Aragarcas,BR,-15.90,-52.25,78.55,77,71,3.74,broken clouds
314,Malanje,AO,-9.54,16.34,64.0,90,24,1.88,few clouds
315,Bilma,NE,18.69,12.92,76.24,9,0,6.78,clear sky
316,Llano De Piedra,PA,7.67,-80.57,87.26,49,85,20.58,overcast clouds
317,Tanout,NE,14.97,8.89,77.43,8,0,10.33,clear sky
318,Buraydah,SA,26.33,43.98,64.4,29,0,9.22,clear sky
319,Toamasina,MG,-18.17,49.38,75.2,94,20,5.57,few clouds
320,Akropong,GH,5.97,-0.09,84.2,84,20,12.66,few clouds
321,Bubaque,GW,11.28,-15.83,75.7,75,39,21.59,scattered clouds
322,Bahar,IR,34.91,48.44,45.1,46,0,4.79,clear sky
323,Aswan,EG,24.09,32.91,68.92,17,0,7.58,clear sky
324,Reconquista,AR,-29.15,-59.65,76.14,53,1,1.16,clear sky
325,Benjamin Constant,BR,-4.38,-70.03,78.8,88,40,4.61,scattered clouds
326,Taltal,CL,-25.40,-70.48,67.08,74,20,4.38,few clouds
327,Taoudenni,ML,22.68,-3.98,87.15,6,78,10.54,broken clouds
328,Labrea,BR,-7.26,-64.80,76.06,96,99,2.73,overcast clouds
329,Luba,GQ,3.46,8.55,82.4,83,20,8.88,few clouds
330,Tromso,NO,69.65,18.96,30.2,74,75,9.22,broken clouds
331,Ninotsminda,GE,41.26,43.59,39.2,75,40,5.99,scattered clouds
332,Nguru,NG,12.88,10.45,80.91,11,4,8.95,clear sky
333,Kpandu,GH,7.00,0.29,80.33,80,32,10.38,scattered clouds
334,Najran,SA,17.49,44.13,69.8,23,57,2.95,dust
335,Ankazoabo,MG,-22.28,44.52,65.21,95,2,3.06,clear sky
336,Potoru,SL,7.51,-11.48,78.64,84,33,4.43,scattered clouds
337,Noyabrsk,RU,63.20,75.45,32.5,96,100,13.53,overcast clouds
338,Boke,GN,10.94,-14.30,74.79,80,74,4.5,broken clouds
339,Rio Brilhante,BR,-21.80,-54.55,82.92,43,89,10.36,overcast clouds
340,Sokoto,NG,13.06,5.24,84.56,9,1,7.81,clear sky
341,Bonavista,CA,48.65,-53.11,39.2,93,100,1.14,overcast clouds
342,Turukhansk,RU,65.82,87.98,26.98,97,100,11.61,snow
343,Loralai,PK,30.37,68.60,66.94,33,100,1.99,overcast clouds
