City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Coquimbo,CL,64.4,few clouds,-29.95,-71.34,Hotel San Juan
414,Dehloran,IR,65.5,clear sky,32.69,47.27,کافه گیم استورم
415,Manta,EC,82.4,broken clouds,-0.95,-80.73,Balandra Hotel
417,Ambilobe,MG,73.58,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
419,Iguape,BR,72.21,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
422,Mandera,KE,81.84,light rain,3.94,41.87,Kornesh Hotel and Lodging
426,Chirala,IN,81.14,broken clouds,15.82,80.35,Bala Residency
431,Grand-Lahou,CI,79.09,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
433,Beja,TN,60.8,scattered clouds,36.73,9.18,HAROUN
435,Puerto Ayacucho,VE,75.29,overcast clouds,5.66,-67.62,Posada Turistica Manapiare
437,Caravelas,BR,77.25,broken clouds,-17.71,-39.25,Pousada dos Navegantes
438,Inhambane,MZ,68.68,clear sky,-23.86,35.38,Oceano
441,Harper,LR,78.94,light rain,4.38,-7.72,Screensaver
442,Galle,LK,78.78,overcast clouds,6.04,80.22,Amangalla
444,Cape Canaveral,US,70.0,clear sky,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
445,Yarada,IN,80.19,scattered clouds,17.65,83.27,Jeevan
446,Acari,PE,77.92,overcast clouds,-15.43,-74.62,Hospedaje Ximens
447,Takestan,IR,50.11,clear sky,36.07,49.7,baghdadi hotelهتل و رستوران بغدادی
449,Kalangala,UG,70.11,light rain,-0.31,32.23,Ssese Habitat Resort
453,Springbok,ZA,63.32,clear sky,-29.66,17.89,Undulata Country Lodge
454,Bluefields,NI,84.2,scattered clouds,12.01,-83.76,Nicaraguan Typical House Downtown
455,Upata,VE,75.67,overcast clouds,8.01,-62.4,Posada Villa Nela
461,Robertsport,LR,80.04,scattered clouds,6.75,-11.37,Kwepunha Retreat
462,Mutare,ZW,59.79,scattered clouds,-18.97,32.67,Ann Bruce Backpackers
463,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Quality Suites Vila Velha
466,Sandur,IN,76.84,few clouds,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, Hampi"
467,Nizwa,OM,80.37,clear sky,22.93,57.53,Orient Apartments
468,Loubomo,CG,72.43,overcast clouds,-4.2,12.67,La Dolisienne
470,Gweta,BW,76.19,clear sky,-20.18,25.23,Gweta Lodge
471,Mazamari,PE,78.21,broken clouds,-11.33,-74.53,Hospedaje Ratto
473,Imbituba,BR,73.4,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
474,Sultanpur,IN,75.65,scattered clouds,26.27,82.07,OYO 49568 Vrindavan Guest House
477,Ampanihy,MG,67.19,few clouds,-24.7,44.75,Angora Hotel
480,Angoche,MZ,76.19,light rain,-16.23,39.91,Guest House HESADA
481,Neuquen,AR,87.8,few clouds,-38.95,-68.06,Hotel del Comahue
483,Santa Helena,BR,75.58,light rain,-2.23,-45.3,Turi Plaza Hotel
484,Caldas Novas,BR,73.81,broken clouds,-17.74,-48.62,Best Western Suites Le Jardin Caldas Novas
485,Buenaventura,CO,79.45,overcast clouds,3.88,-77.03,La Casa Blanca Hotel
486,Phalaborwa,ZA,68.0,clear sky,-23.94,31.14,Bothabelo Bed and Breakfast
488,Dunmore Town,BS,68.77,overcast clouds,25.5,-76.65,Coral Sands Hotel
489,Lodwar,KE,84.87,light rain,3.12,35.6,Turkwel Lodge
494,San Pedro,PH,81.0,few clouds,14.35,121.02,OYO 412 Viewfort Venue
496,Mindelo,CV,71.6,few clouds,16.89,-24.98,Hotel Gaudi
497,Phalodi,IN,81.48,scattered clouds,27.13,72.37,"HOTEL NEW GOLDEN PALACE , PHALODI"
500,Miraflores,MX,78.8,few clouds,19.22,-98.81,Hotel Mansión
502,Cavalcante,BR,74.23,broken clouds,-13.8,-47.46,Pousada Vila dos Ipês
503,Balkanabat,TM,56.86,clear sky,39.51,54.37,Nebitchi Hotel
504,Sakakah,SA,60.8,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
505,Recife,BR,80.6,broken clouds,-8.05,-34.88,Recife Plaza Hotel
506,Magole,TZ,73.4,light rain,-6.37,37.37,Juma lubelwa
507,Bom Jesus,BR,87.28,overcast clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
511,Richards Bay,ZA,64.58,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
512,Nova Londrina,BR,74.48,overcast clouds,-22.77,-52.98,Hotel e Churrascaria Gaúcha
514,Antalaha,MG,75.13,broken clouds,-14.9,50.28,Hotel Vitasoa
515,Nicoya,CR,91.4,clear sky,10.15,-85.45,Guayacan Real
516,Saint-Leu,RE,78.8,clear sky,-21.15,55.28,La Caz Oceane
517,Sabzevar,IR,50.7,clear sky,36.21,57.68,منزل عبدالوهاب برهانی سبزوار
520,Porto Empedocle,IT,55.0,broken clouds,37.29,13.53,Hotel dei Pini
521,Nchelenge,ZM,68.99,light rain,-9.35,28.73,Mweru Water Transport
524,Asyut,EG,64.4,clear sky,27.18,31.18,Florence Hotel Assiut
525,Lethem,GY,87.8,moderate rain,3.38,-59.8,Savannah Inn
526,Conway,US,77.0,clear sky,35.09,-92.44,"Country Inn & Suites by Radisson, Conway, AR"
